init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.7500000000000002,3.5,L0,8.24,2.3
2.0,0.5,0.7500000000000002,3.5,L50,8.16,1.14
2.0,0.5,0.7500000000000002,3.5,L100,8.56,0.76
2.0,0.5,0.7500000000000002,4.0,L0,8.64,2.22
2.0,0.5,0.7500000000000002,4.0,L50,7.84,1.52
2.0,0.5,0.7500000000000002,4.0,L100,8.8,0.74
2.0,0.5,0.7500000000000002,4.5,L0,10.0,1.82
2.0,0.5,0.7500000000000002,4.5,L50,8.4,2.06
2.0,0.5,0.7500000000000002,4.5,L100,9.76,1.26
2.0,0.5,0.7500000000000002,5.0,L0,9.36,2.32
2.0,0.5,0.7500000000000002,5.0,L50,8.08,2.24
2.0,0.5,0.7500000000000002,5.0,L100,7.84,1.54
2.0,0.5,0.8000000000000003,1.0,L0,7.52,0.56
2.0,0.5,0.8000000000000003,1.0,L50,7.2,0.34
2.0,0.5,0.8000000000000003,1.0,L100,7.04,0.24
2.0,0.5,0.8000000000000003,1.5,L0,7.6,1.38
2.0,0.5,0.8000000000000003,1.5,L50,6.88,0.3
2.0,0.5,0.8000000000000003,1.5,L100,7.2,0.26
2.0,0.5,0.8000000000000003,2.0,L0,7.76,1.42
2.0,0.5,0.8000000000000003,2.0,L50,8.16,0.62
2.0,0.5,0.8000000000000003,2.0,L100,7.36,0.44
2.0,0.5,0.8000000000000003,2.5,L0,8.32,1.84
2.0,0.5,0.8000000000000003,2.5,L50,8.0,0.8
2.0,0.5,0.8000000000000003,2.5,L100,7.44,0.58
2.0,0.5,0.8000000000000003,3.0,L0,8.16,1.02
2.0,0.5,0.8000000000000003,3.0,L50,8.16,1.24
2.0,0.5,0.8000000000000003,3.0,L100,7.84,0.48
2.0,0.5,0.8000000000000003,3.5,L0,8.72,2.48
2.0,0.5,0.8000000000000003,3.5,L50,8.88,1.24
2.0,0.5,0.8000000000000003,3.5,L100,7.6,0.94
2.0,0.5,0.8000000000000003,4.0,L0,9.44,2.04
2.0,0.5,0.8000000000000003,4.0,L50,8.32,1.36
2.0,0.5,0.8000000000000003,4.0,L100,8.08,1.02
2.0,0.5,0.8000000000000003,4.5,L0,12.08,1.22
2.0,0.5,0.8000000000000003,4.5,L50,8.8,1.56
2.0,0.5,0.8000000000000003,4.5,L100,9.76,0.98
2.0,0.5,0.8000000000000003,5.0,L0,8.0,2.98
2.0,0.5,0.8000000000000003,5.0,L50,8.96,1.6
2.0,0.5,0.8000000000000003,5.0,L100,8.0,1.14
2.0,1.0,0.5,1.0,L0,7.12,0.46
