Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
0.470644,Left,0.005961016,2.289097,0.07890723,-0.01062702,1.044977,4.889572,40.7703,-7.600268,2.004151,40.00801,0.9980469,1,BG,BG
0.470644,Right,0.005961016,2.289097,0.07890723,-0.2750253,1.049698,4.880829,1.032372,-0.2059864,0.05007565,0.9992312,0.9980469,1,Text,acticle_2
0.4853725,Left,0.004415859,2.288946,0.07975733,-0.02022069,1.064403,4.885349,40.78458,-7.658424,2.143546,40.00546,0.9980469,1,BG,BG
0.4853725,Right,0.004415859,2.288946,0.07975733,-0.2845224,1.067314,4.876463,41.25992,-9.81457,2.162018,40.00648,0.9980469,1,BG,BG
0.5129986,Left,0.001222812,2.288386,0.08153225,-0.02022069,1.064403,4.885349,40.77902,-7.605371,2.207918,40.00475,0.9980469,1,BG,BG
0.5129986,Right,0.001222812,2.288386,0.08153225,-0.2845224,1.067314,4.876463,1.032891,-0.2046091,0.05614105,0.9991038,0.9980469,1,Text,acticle_2
0.5277023,Left,-0.000370096,2.288033,0.0825526,-0.08707147,1.197772,4.853634,40.95931,-8.153235,3.422977,39.99698,0.9980469,1,BG,BG
0.5277023,Right,-0.000370096,2.288033,0.0825526,-0.3505213,1.196577,4.842039,41.4624,-10.31909,3.443202,39.99796,0.9980469,1,BG,BG
0.54179,Left,-0.001953052,2.28766,0.08351053,-0.08707147,1.197772,4.853634,40.9624,-8.119533,3.537679,39.99613,0.9980469,1,BG,BG
0.54179,Right,-0.001953052,2.28766,0.08351053,-0.3505213,1.196577,4.842039,41.46452,-10.28526,3.562565,39.99743,0.9980469,1,BG,BG
0.569315,Left,-0.00525309,2.286996,0.08515666,-0.09978603,1.225343,4.846502,41.00744,-8.152951,3.988692,39.99387,0.9980469,1,BG,BG
0.569315,Right,-0.00525309,2.286996,0.08515666,-0.3631469,1.222058,4.834739,41.5132,-10.32144,4.008934,39.99712,0.9980469,1,BG,BG
0.5841255,Left,-0.006889503,2.286705,0.08603583,-0.09978603,1.225343,4.846502,41.01372,-8.10875,4.100236,39.99718,0.9980469,1,BG,BG
0.5841255,Right,-0.006889503,2.286705,0.08603583,-0.3631469,1.222058,4.834739,41.51619,-10.2767,4.12307,39.9992,0.9980469,1,BG,BG
0.6112556,Left,-0.01017814,2.286099,0.08780816,-0.1200782,1.214859,4.84868,41.04074,-8.205795,4.219271,39.99287,0.9980469,1,BG,BG
0.6112556,Right,-0.01017814,2.286099,0.08780816,-0.3832507,1.210036,4.83621,41.54921,-10.37567,4.231109,39.99669,0.9980469,1,BG,BG
0.6260624,Left,-0.01172403,2.285789,0.08882062,-0.1153124,1.216325,4.848428,41.04034,-8.121749,4.331367,39.99836,0.9980469,1,BG,BG
0.6260624,Right,-0.01172403,2.285789,0.08882062,-0.3786849,1.210611,4.836426,41.54205,-10.29151,4.336052,40.00085,0.9980469,1,BG,BG
0.6534195,Left,-0.01471131,2.285054,0.09108332,-0.1226468,1.223229,4.846511,41.05933,-8.110526,4.566188,39.99393,0.9980469,1,BG,BG
0.6534195,Right,-0.01471131,2.285054,0.09108332,-0.3860495,1.216948,4.834253,41.56165,-10.28186,4.568499,39.99783,0.9980469,1,BG,BG
