dwell_steps,perturbation_amp_tuning_factor,perturbation_amp_noise_scale,end_steps,reading_speed_wps,walk_over_stand_percent
0.3,1.0,0.005,189,1.2698412698412698,0.43915343915343913
0.3,1.0,0.01,225,1.0666666666666667,0.3688888888888889
0.3,1.0,0.015,289,0.8304498269896193,0.28719723183391005
0.4,0.0,0.0,104,2.3076923076923075,1.0
0.4,0.0,0.005,111,2.1621621621621623,0.9369369369369369
0.4,0.0,0.01,167,1.437125748502994,0.6227544910179641
0.4,0.0,0.015,256,0.9375,0.40625
0.4,0.1,0.0,107,2.2429906542056073,0.9719626168224299
0.4,0.1,0.005,111,2.1621621621621623,0.9369369369369369
0.4,0.1,0.01,160,1.5,0.65
0.4,0.1,0.015,303,0.7920792079207921,0.3432343234323432
0.4,0.2,0.0,106,2.2641509433962264,0.9811320754716981
0.4,0.2,0.005,109,2.2018348623853212,0.9541284403669725
0.4,0.2,0.01,153,1.5686274509803921,0.6797385620915033
0.4,0.2,0.015,249,0.963855421686747,0.41767068273092367
0.4,0.3,0.0,110,2.1818181818181817,0.9454545454545454
0.4,0.3,0.005,116,2.0689655172413794,0.896551724137931
0.4,0.3,0.01,175,1.3714285714285714,0.5942857142857143
0.4,0.3,0.015,247,0.97165991902834,0.42105263157894735
0.4,0.4,0.0,113,2.1238938053097347,0.9203539823008849
0.4,0.4,0.005,122,1.9672131147540983,0.8524590163934426
0.4,0.4,0.01,165,1.4545454545454546,0.6303030303030303
0.4,0.4,0.015,254,0.9448818897637795,0.4094488188976378
0.4,0.5,0.0,124,1.935483870967742,0.8387096774193549
0.4,0.5,0.005,137,1.7518248175182483,0.7591240875912408
0.4,0.5,0.01,197,1.218274111675127,0.5279187817258884
0.4,0.5,0.015,250,0.96,0.416
0.4,0.6,0.0,136,1.7647058823529411,0.7647058823529411
0.4,0.6,0.005,149,1.610738255033557,0.697986577181208
0.4,0.6,0.01,200,1.2,0.52
0.4,0.6,0.015,296,0.8108108108108109,0.35135135135135137
0.4,0.7,0.0,156,1.5384615384615385,0.6666666666666666
0.4,0.7,0.005,175,1.3714285714285714,0.5942857142857143
0.4,0.7,0.01,234,1.0256410256410255,0.4444444444444444
0.4,0.7,0.015,311,0.7717041800643086,0.33440514469453375
0.4,0.8,0.0,171,1.4035087719298245,0.6081871345029239
0.4,0.8,0.005,191,1.256544502617801,0.5445026178010471
0.4,0.8,0.01,239,1.00418410041841,0.4351464435146444
0.4,0.8,0.015,340,0.7058823529411765,0.3058823529411765
0.4,0.9,0.0,211,1.1374407582938388,0.4928909952606635
0.4,0.9,0.005,216,1.1111111111111112,0.48148148148148145
0.4,0.9,0.01,281,0.8540925266903915,0.3701067615658363
0.4,0.9,0.015,370,0.6486486486486487,0.2810810810810811
0.4,1.0,0.0,220,1.0909090909090908,0.4727272727272727
0.4,1.0,0.005,240,1.0,0.43333333333333335
0.4,1.0,0.01,261,0.9195402298850575,0.39846743295019155
0.4,1.0,0.015,409,0.58679706601467,0.254278728606357
0.5,0.0,0.0,128,1.875,1.0
0.5,0.0,0.005,140,1.7142857142857142,0.9142857142857143
0.5,0.0,0.01,180,1.3333333333333333,0.7111111111111111
0.5,0.0,0.015,299,0.802675585284281,0.4280936454849498
0.5,0.1,0.0,131,1.83206106870229,0.9770992366412213
0.5,0.1,0.005,143,1.6783216783216783,0.8951048951048951
0.5,0.1,0.01,204,1.1764705882352942,0.6274509803921569
0.5,0.1,0.015,279,0.8602150537634409,0.45878136200716846
0.5,0.2,0.0,133,1.8045112781954886,0.9624060150375939
