init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,148,14,2.0,26,"[26, 27, 28, 28]","[0.19939365029699863, 0.19728727731657006, 0.19576223701628298, 0.1943588011155757]","[26, 27, 28, 28]"
3.0,4.5,0.6,3.0,L0,149,10,3.0,25,"[27, 28, 28]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[27, 28, 28]"
3.0,4.5,0.6,3.0,L0,150,10,0.0,33,"[29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,151,10,3.0,25,"[27, 28, 28]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[27, 28, 28]"
3.0,4.5,0.6,3.0,L0,152,14,2.0,27,"[26, 25, 29, 29]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878, 0.16843428039357503]","[26, 25, 29, 29]"
3.0,4.5,0.6,3.0,L0,153,6,5.0,25,"[30, 30]","[0.24537589071508778, 0.24228230294217007]","[30, 30]"
3.0,4.5,0.6,3.0,L0,154,10,0.0,32,"[28, 32, 32]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,155,6,1.0,35,"[34, 34]","[0.19939365029699865, 0.19728727731657003]","[34, 34]"
3.0,4.5,0.6,3.0,L0,156,6,4.0,25,"[29, 29]","[0.24537589071508778, 0.24228230294217007]","[29, 29]"
3.0,4.5,0.6,3.0,L0,157,6,1.0,36,"[35, 35]","[0.24537589071508778, 0.24228230294216996]","[35, 35]"
3.0,4.5,0.6,3.0,L0,158,6,9.0,25,"[34, 34]","[0.24537589071508778, 0.24228230294217007]","[34, 34]"
3.0,4.5,0.6,3.0,L0,159,6,4.0,29,"[33, 33]","[0.14884999153518863, 0.14720590757510899]","[33, 33]"
3.0,4.5,0.6,3.0,L0,160,6,1.0,35,"[36, 36]","[0.19939365029699865, 0.19728727731657003]","[36, 36]"
3.0,4.5,0.6,3.0,L0,161,6,1.0,34,"[33, 33]","[0.172556925711752, 0.17082853840049234]","[33, 33]"
3.0,4.5,0.6,3.0,L0,162,6,4.0,32,"[36, 36]","[0.14884999153518866, 0.14720590757510899]","[36, 36]"
3.0,4.5,0.6,3.0,L0,163,6,0.0,35,"[35, 35]","[0.19939365029699865, 0.19728727731657003]","[35, 35]"
3.0,4.5,0.6,3.0,L0,164,6,1.0,29,"[30, 30]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,165,10,0.0,30,"[29, 30, 30]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,166,6,8.0,27,"[35, 35]","[0.17255692571175196, 0.17082853840049236]","[35, 35]"
3.0,4.5,0.6,3.0,L0,167,14,2.0,28,"[27, 26, 30, 30]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,168,10,0.0,33,"[29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,169,14,2.0,26,"[26, 27, 28, 28]","[0.19939365029699863, 0.19728727731657006, 0.19576223701628298, 0.1943588011155757]","[26, 27, 28, 28]"
3.0,4.5,0.6,3.0,L0,170,10,2.0,25,"[26, 27, 27]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[26, 27, 27]"
3.0,4.5,0.6,3.0,L0,171,6,6.0,30,"[36, 36]","[0.14526078844766527, 0.14358691513360786]","[36, 36]"
3.0,4.5,0.6,3.0,L0,172,14,2.0,28,"[27, 26, 30, 30]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,173,14,1.0,34,"[25, 29, 33, 33]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503]","[25, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,174,6,5.0,30,"[35, 35]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,175,6,5.0,27,"[32, 32]","[0.17255692571175196, 0.17082853840049236]","[32, 32]"
3.0,4.5,0.6,3.0,L0,176,6,0.0,33,"[33, 33]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,177,14,0.0,33,"[25, 29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292]","[25, 29, 33, 33]"
