init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,75,14,1.0,36,"[0.08774136405115227, 0.0865952318029732, 0.16255892079789605, 0.3783718449163738]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844, 0.23799375966794206]","[27, 31, 35, 35]"
3.0,4.5,0.6,3.0,L0,76,6,4.0,25,"[0.19734013326871055, 0.2352882578153484]","[0.24537589071508778, 0.24228230294217007]","[29, 29]"
3.0,4.5,0.6,3.0,L0,77,10,0.0,32,"[0.21271648119222727, 0.2743800827258826, 0.31012715118837997]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[31, 32, 32]"
3.0,4.5,0.6,3.0,L0,78,6,2.0,36,"[0.2941757657019617, 0.3903659443137208]","[0.24537589071508778, 0.24228230294216996]","[34, 34]"
3.0,4.5,0.6,3.0,L0,79,10,0.0,33,"[0.1801059673586433, 0.21780577831312073, 0.4315362520437874]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,80,6,5.0,30,"[0.11657480699495948, 0.1313961192009397]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,81,10,0.0,29,"[0.18411952818556132, 0.22129188568415553, 0.3941825541732306]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,82,10,0.0,34,"[0.13884431083782997, 0.16680025260838696, 0.34603113328799623]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,83,14,4.0,25,"[0.39529097378430716, 0.49167056683689864, 0.5302523636623411, 0.2016855344539332]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285, 0.23799375966794206]","[25, 25, 29, 29]"
3.0,4.5,0.6,3.0,L0,84,6,1.0,29,"[0.21271648119222733, 0.2743800827258827]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,85,6,9.0,25,"[0.08774136405115227, 0.08659523180297318]","[0.24537589071508778, 0.24228230294217007]","[34, 34]"
3.0,4.5,0.6,3.0,L0,86,18,1.0,32,"[0.10174031720301469, 0.10841689552406474, 0.2819702168723805, 0.20495788775715834, 0.3445787257826739]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323, 0.143971301706733]","[26, 30, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,87,6,5.0,30,"[0.11657480699495948, 0.1313961192009397]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,88,6,1.0,29,"[0.21271648119222733, 0.2743800827258827]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,89,6,4.0,26,"[0.14148825291062095, 0.16819053148141958]","[0.19939365029699863, 0.19728727731657006]","[30, 30]"
