agent_name,layout,event_update_level,num_attention_switches,num_attention_switches_margins,num_attention_switches_middle,inform_loss,reading_speed,total_steps,attention_switches_time_steps_list
agent_a,L0,short,15,6,9,15,0.8696,115,"[4, 9, 19, 28, 30, 39, 41, 53, 63, 72, 81, 90, 92, 93, 105]"
agent_a,L0,short,18,12,6,8,0.8475,118,"[4, 9, 11, 20, 30, 34, 43, 52, 54, 63, 65, 75, 84, 94, 95, 96, 99, 108]"
agent_a,L0,short,17,7,10,14,0.8547,117,"[6, 14, 23, 32, 41, 50, 52, 62, 71, 79, 81, 82, 91, 95, 103, 112, 114]"
agent_a,L0,short,20,10,10,15,0.8333,120,"[6, 15, 24, 33, 43, 53, 62, 63, 65, 74, 84, 93, 94, 95, 103, 104, 105, 106, 115, 117]"
agent_a,L0,short,19,10,9,7,0.8403,119,"[9, 17, 19, 20, 29, 31, 32, 34, 44, 53, 56, 66, 75, 77, 86, 89, 98, 99, 111]"
agent_a,L0,short,14,6,8,4,0.8772,114,"[7, 13, 22, 24, 34, 43, 52, 54, 63, 73, 82, 83, 95, 104]"
agent_a,L0,short,17,13,4,11,0.8547,117,"[9, 16, 18, 20, 31, 41, 50, 59, 68, 69, 79, 80, 89, 92, 102, 111, 114]"
agent_a,L0,short,16,9,7,5,0.8621,116,"[10, 17, 20, 29, 32, 42, 51, 52, 62, 71, 72, 83, 92, 101, 102, 113]"
agent_a,L0,short,16,8,8,7,0.8621,116,"[9, 16, 19, 20, 30, 41, 50, 51, 60, 63, 72, 74, 83, 85, 96, 106]"
agent_a,L0,short,19,13,6,4,0.8403,119,"[4, 9, 18, 20, 21, 23, 26, 36, 45, 55, 56, 65, 67, 77, 89, 100, 101, 109, 111]"
agent_a,L0,short,16,7,9,8,0.8621,116,"[5, 12, 21, 30, 40, 41, 51, 60, 62, 72, 81, 90, 91, 101, 103, 113]"
agent_a,L0,short,15,8,7,7,0.8696,115,"[4, 9, 11, 20, 30, 39, 44, 56, 65, 74, 76, 85, 95, 104, 106]"
agent_a,L0,short,22,12,10,6,0.8197,122,"[12, 20, 21, 30, 32, 42, 53, 62, 64, 65, 75, 77, 79, 88, 90, 99, 108, 109, 111, 112, 114, 115]"
agent_a,L0,short,20,11,9,7,0.8333,120,"[9, 11, 19, 21, 35, 45, 54, 55, 56, 57, 58, 60, 70, 79, 89, 98, 99, 100, 110, 111]"
agent_a,L0,short,13,9,4,25,0.885,113,"[4, 11, 20, 29, 34, 45, 54, 64, 73, 82, 87, 96, 104]"
agent_a,L0,short,15,9,6,10,0.8696,115,"[10, 18, 20, 29, 31, 41, 50, 59, 62, 72, 82, 92, 101, 109, 111]"
agent_a,L0,short,16,12,4,5,0.8621,116,"[4, 9, 19, 28, 30, 39, 49, 59, 68, 70, 79, 88, 89, 92, 102, 112]"
agent_a,L0,short,14,2,12,10,0.8772,114,"[9, 15, 24, 33, 34, 47, 56, 65, 74, 84, 92, 94, 103, 105]"
agent_a,L0,short,17,11,6,4,0.8547,117,"[9, 17, 19, 28, 30, 41, 50, 51, 53, 62, 72, 81, 83, 93, 95, 105, 107]"
agent_a,L0,short,17,5,12,8,0.8547,117,"[9, 11, 19, 21, 30, 33, 43, 45, 54, 56, 67, 69, 78, 87, 89, 98, 110]"
agent_a,L0,short,14,12,2,12,0.8772,114,"[13, 21, 32, 42, 52, 54, 67, 76, 84, 94, 95, 103, 104, 105]"
agent_a,L0,short,17,9,8,10,0.8547,117,"[5, 12, 21, 30, 40, 49, 51, 52, 62, 71, 73, 82, 91, 94, 102, 111, 112]"
agent_a,L0,short,17,6,11,8,0.8547,117,"[10, 19, 28, 29, 30, 40, 49, 51, 60, 70, 73, 82, 93, 102, 104, 112, 115]"
