init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,gaze_positions_list
2.0,0.5,0.8,4.5,L50,1,10,1.0,"[18, 22, 22]"
2.0,0.5,0.8,4.5,L50,2,6,4.0,"[17, 17]"
2.0,0.5,0.8,4.5,L50,3,6,6.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,4,6,5.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,5,6,1.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,6,6,0.0,"[16, 16]"
2.0,0.5,0.8,4.5,L50,7,10,0.0,"[21, 22, 22]"
2.0,0.5,0.8,4.5,L50,8,6,1.0,"[20, 20]"
2.0,0.5,0.8,4.5,L50,9,6,3.0,"[23, 23]"
2.0,0.5,0.8,4.5,L50,10,10,0.0,"[17, 18, 18]"
2.0,0.5,0.8,4.5,L50,11,14,0.0,"[13, 17, 18, 18]"
2.0,0.5,0.8,4.5,L50,12,10,0.0,"[19, 20, 20]"
2.0,0.5,0.8,4.5,L50,13,10,0.0,"[20, 21, 21]"
2.0,0.5,0.8,4.5,L50,14,10,1.0,"[16, 20, 20]"
2.0,0.5,0.8,4.5,L50,15,6,4.0,"[21, 21]"
2.0,0.5,0.8,4.5,L50,16,6,0.0,"[14, 14]"
2.0,0.5,0.8,4.5,L50,17,6,0.0,"[20, 20]"
2.0,0.5,0.8,4.5,L50,18,6,5.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,19,6,1.0,"[24, 24]"
2.0,0.5,0.8,4.5,L50,20,14,1.0,"[15, 14, 18, 18]"
2.0,0.5,0.8,4.5,L50,21,6,1.0,"[18, 18]"
2.0,0.5,0.8,4.5,L50,22,18,0.0,"[22, 21, 20, 24, 24]"
2.0,0.5,0.8,4.5,L50,23,10,1.0,"[13, 14, 14]"
2.0,0.5,0.8,4.5,L50,24,74,0.0,"[18, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 20, 24, 24]"
2.0,0.5,0.8,4.5,L50,25,10,1.0,"[21, 22, 22]"
2.0,0.5,0.8,4.5,L50,26,6,3.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,27,6,4.0,"[22, 22]"
2.0,0.5,0.8,4.5,L50,28,6,0.0,"[14, 14]"
2.0,0.5,0.8,4.5,L50,29,6,3.0,"[19, 19]"
2.0,0.5,0.8,4.5,L50,30,74,0.0,"[18, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 20, 24, 24]"
2.0,0.5,0.8,4.5,L50,31,10,0.0,"[17, 21, 21]"
2.0,0.5,0.8,4.5,L50,32,6,0.0,"[18, 18]"
2.0,0.5,0.8,4.5,L50,33,10,1.0,"[17, 21, 21]"
2.0,0.5,0.8,4.5,L50,34,10,1.0,"[17, 18, 18]"
2.0,0.5,0.8,4.5,L50,35,10,0.0,"[21, 22, 22]"
2.0,0.5,0.8,4.5,L50,36,6,2.0,"[24, 24]"
2.0,0.5,0.8,4.5,L50,37,6,2.0,"[16, 16]"
2.0,0.5,0.8,4.5,L50,38,6,4.0,"[18, 18]"
2.0,0.5,0.8,4.5,L50,39,10,1.0,"[21, 22, 22]"
2.0,0.5,0.8,4.5,L50,40,10,0.0,"[15, 16, 16]"
2.0,0.5,0.8,4.5,L50,41,6,0.0,"[22, 22]"
2.0,0.5,0.8,4.5,L50,42,6,1.0,"[20, 20]"
2.0,0.5,0.8,4.5,L50,43,6,1.0,"[23, 23]"
