perturbation_amp_tuning_factor,perturbation_amp_noise_scale,train_mean_ratio,test_mean_ratio,sim_mean_ratio
0.04,0.004,0.9313482061666667,0.9537828133333334,0.9365079365079364
0.0,0.004,0.9708298831666666,0.9143011363333332,0.9672131147540984
0.0,0.004,0.9703540178333334,0.9147770016666668,0.9672131147540984
0.01,0.006,0.9124247311666666,0.9727062883333334,0.9076923076923076
0.0,0.004,0.9638480045000001,0.9212830150000001,0.9672131147540984
0.08,0.005,0.9544387493333333,0.9306922701666668,0.9516129032258064
0.04,0.004,0.9412956568333333,0.9438353626666666,0.9365079365079364
0.0,0.004,0.9638928943333332,0.9212381251666666,0.9672131147540984
0.08,0.005,0.954343179,0.9307878405,0.9516129032258064
0.01,0.006,0.9119488658333333,0.9731821536666666,0.9076923076923076
0.0,0.0,0.9959701601666667,0.8891608593333333,1.0
0.0,0.006,0.8797348451666668,1.0053961743333333,0.8805970149253731
0.04,0.004,0.9434315414999999,0.941699478,0.9365079365079364
0.01,0.006,0.9027322548333334,0.9823987646666666,0.9076923076923076
0.04,0.004,0.9403501813333334,0.9447808381666666,0.9365079365079364
0.0,0.001,0.9811755768333331,0.9039554426666667,0.9833333333333332
0.0,0.004,0.965298759,0.9198322605000001,0.9672131147540984
0.0,0.004,0.9696980818333335,0.9154329376666667,0.9672131147540984
0.03,0.007,0.8705913878333332,1.0145396316666666,0.8676470588235294
0.0,0.002,1.0192533475,0.865877672,1.0172413793103448
0.0,0.004,0.9601726158333334,0.9249584036666666,0.9672131147540984
0.04,0.004,0.9361775286666667,0.9489534908333334,0.9365079365079364
0.02,0.007,0.9211723823333333,0.9639586371666665,0.921875
0.0,0.004,0.962828445,0.9223025745000001,0.9672131147540984
0.0,0.004,0.9653079338333334,0.9198230856666666,0.9672131147540984
0.0,0.0,0.997403911,0.8877271085,1.0
0.04,0.01,0.8945920531666666,0.9905389663333333,0.8939393939393939
0.04,0.01,0.8985162338333333,0.9866147856666667,0.8939393939393939
0.08,0.005,0.9541988373333332,0.9309321821666666,0.9516129032258064
0.02,0.007,0.922202312,0.9629287075,0.921875
0.02,0.007,0.9274207026666668,0.9577103168333334,0.921875
0.03,0.007,0.8686337636666667,1.0164972558333334,0.8676470588235294
0.0,0.002,1.024498694,0.8606323255,1.0172413793103448
0.01,0.006,0.9090827456666667,0.9760482738333334,0.9076923076923076
0.04,0.004,0.9306922701666668,0.9544387493333333,0.9365079365079364
0.04,0.004,0.9318626600000001,0.9532683594999999,0.9365079365079364
0.0,0.001,0.9786272145,0.9065038049999999,0.9833333333333332
0.01,0.006,0.9117393855000001,0.9733916340000001,0.9076923076923076
