init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.9,5.0,0.5,4.0,L50,54.1,0.89
0.9,5.0,0.5,4.0,L100,44.06,2.34
0.9,5.0,0.5,4.5,L0,52.3,1.13
0.9,5.0,0.5,4.5,L50,49.92,0.86
0.9,5.0,0.5,4.5,L100,56.02,2.22
0.9,5.0,0.5,5.0,L0,60.52,1.48
0.9,5.0,0.5,5.0,L50,51.14,1.02
0.9,5.0,0.5,5.0,L100,55.24,1.75
0.9,5.0,0.55,1.0,L0,70.26,1.91
0.9,5.0,0.55,1.0,L50,22.06,3.3
0.9,5.0,0.55,1.0,L100,21.52,3.65
0.9,5.0,0.55,1.5,L0,68.14,1.24
0.9,5.0,0.55,1.5,L50,47.34,3.14
0.9,5.0,0.55,1.5,L100,47.14,3.8
0.9,5.0,0.55,2.0,L0,64.08,1.05
0.9,5.0,0.55,2.0,L50,46.4,2.59
0.9,5.0,0.55,2.0,L100,40.14,3.58
0.9,5.0,0.55,2.5,L0,66.84,1.11
0.9,5.0,0.55,2.5,L50,53.84,2.44
0.9,5.0,0.55,2.5,L100,45.0,3.52
0.9,5.0,0.55,3.0,L0,72.3,1.08
0.9,5.0,0.55,3.0,L50,69.56,1.46
0.9,5.0,0.55,3.0,L100,43.42,3.63
0.9,5.0,0.55,3.5,L0,77.86,1.23
0.9,5.0,0.55,3.5,L50,65.7,1.69
0.9,5.0,0.55,3.5,L100,44.26,2.92
0.9,5.0,0.55,4.0,L0,75.54,1.59
0.9,5.0,0.55,4.0,L50,48.5,0.93
0.9,5.0,0.55,4.0,L100,50.6,2.55
0.9,5.0,0.55,4.5,L0,54.06,1.27
0.9,5.0,0.55,4.5,L50,49.34,0.8
0.9,5.0,0.55,4.5,L100,61.96,1.54
0.9,5.0,0.55,5.0,L0,64.0,1.05
0.9,5.0,0.55,5.0,L50,47.0,0.82
0.9,5.0,0.55,5.0,L100,52.16,1.17
0.9,5.0,0.6000000000000001,1.0,L0,74.56,2.02
0.9,5.0,0.6000000000000001,1.0,L50,24.02,3.73
0.9,5.0,0.6000000000000001,1.0,L100,23.32,4.07
0.9,5.0,0.6000000000000001,1.5,L0,66.08,0.96
0.9,5.0,0.6000000000000001,1.5,L50,42.12,3.03
0.9,5.0,0.6000000000000001,1.5,L100,45.52,3.1
0.9,5.0,0.6000000000000001,2.0,L0,61.96,1.15
0.9,5.0,0.6000000000000001,2.0,L50,44.5,2.83
0.9,5.0,0.6000000000000001,2.0,L100,42.26,2.92
0.9,5.0,0.6000000000000001,2.5,L0,73.1,0.98
0.9,5.0,0.6000000000000001,2.5,L50,54.02,2.49
0.9,5.0,0.6000000000000001,2.5,L100,42.46,3.2
0.9,5.0,0.6000000000000001,3.0,L0,70.88,0.84
0.9,5.0,0.6000000000000001,3.0,L50,72.72,1.72
0.9,5.0,0.6000000000000001,3.0,L100,47.22,3.06
0.9,5.0,0.6000000000000001,3.5,L0,67.62,1.51
0.9,5.0,0.6000000000000001,3.5,L50,63.84,0.92
0.9,5.0,0.6000000000000001,3.5,L100,47.52,2.89
0.9,5.0,0.6000000000000001,4.0,L0,69.04,1.22
0.9,5.0,0.6000000000000001,4.0,L50,51.02,0.78
0.9,5.0,0.6000000000000001,4.0,L100,53.96,2.16
0.9,5.0,0.6000000000000001,4.5,L0,58.84,1.25
0.9,5.0,0.6000000000000001,4.5,L50,51.42,0.88
0.9,5.0,0.6000000000000001,4.5,L100,63.4,2.26
0.9,5.0,0.6000000000000001,5.0,L0,61.74,1.81
0.9,5.0,0.6000000000000001,5.0,L50,51.94,0.83
0.9,5.0,0.6000000000000001,5.0,L100,47.32,1.09
0.9,5.0,0.6500000000000001,1.0,L0,68.2,2.11
0.9,5.0,0.6500000000000001,1.0,L50,20.82,3.79
0.9,5.0,0.6500000000000001,1.0,L100,22.04,2.92
0.9,5.0,0.6500000000000001,1.5,L0,65.0,1.29
0.9,5.0,0.6500000000000001,1.5,L50,41.6,3.2
0.9,5.0,0.6500000000000001,1.5,L100,32.64,3.07
0.9,5.0,0.6500000000000001,2.0,L0,58.18,0.91
0.9,5.0,0.6500000000000001,2.0,L50,49.88,2.09
0.9,5.0,0.6500000000000001,2.0,L100,39.96,2.99
0.9,5.0,0.6500000000000001,2.5,L0,68.26,0.93
0.9,5.0,0.6500000000000001,2.5,L50,60.9,1.64
0.9,5.0,0.6500000000000001,2.5,L100,41.5,3.07
0.9,5.0,0.6500000000000001,3.0,L0,61.7,0.91
0.9,5.0,0.6500000000000001,3.0,L50,74.4,1.3
0.9,5.0,0.6500000000000001,3.0,L100,46.66,2.9
0.9,5.0,0.6500000000000001,3.5,L0,65.1,1.04
0.9,5.0,0.6500000000000001,3.5,L50,59.08,0.82
0.9,5.0,0.6500000000000001,3.5,L100,44.16,1.93
0.9,5.0,0.6500000000000001,4.0,L0,69.48,1.03
0.9,5.0,0.6500000000000001,4.0,L50,52.04,1.11
0.9,5.0,0.6500000000000001,4.0,L100,60.92,1.91
0.9,5.0,0.6500000000000001,4.5,L0,61.14,0.79
0.9,5.0,0.6500000000000001,4.5,L50,53.78,0.78
0.9,5.0,0.6500000000000001,4.5,L100,47.96,1.25
